field,ru,en,es,pt
components.txMessages.buyMarketPositions,Покупка токена #{tokenId},Buying token #{tokenId},Compra de un token #{tokenId},Compra do token #{tokenId}
components.txMessages.cancelSale,Отмена позиции #{tokenId},Canceling market position #{tokenId},Cancelación de publicación del token #{tokenId},Cancelamento da publicação do token #{tokenId}
components.txMessages.sellItem,Размещение токена #{tokenId} на рынке,Placing token #{tokenId} on market,Publicación del token #{tokenId} en el mercado,Publicação do token #{tokenId} no mercado
components.txMessages.claimBonusOfToken,Снятие бонуса в токенах {symbol},Claiming bonus in {symbol},Retiro del bono en tokens {symbol},Retirada de bonus em tokens {symbol}
components.txMessages.transferFrom,Передача токена #{tokenId} аккаунту {toAccount},Transfering token #{tokenId} to {toAccount},Transferencia del token #{tokenId} a la cuenta {toAccount},Transferência do token #{tokenId} para a conta {toAccount}
components.txMessages.burn,Сжигание токена #{tokenId},Burning token #{tokenId},Quema del token #{tokenId},Queima do token #{tokenId}
components.auctionCard.endInLabel,Закончится через,Ends in,Terminará en,Terminará em
components.auctionCard.startInLabel,Начнётся через,Starts in,Comenzará en,Começará em
components.auctionCard.endedLabel,Закончен,Ended,Finalizado,Finalizado
components.auctionCard.currentBidLabel,Ставка,Bid,Apuesta,Aposta
components.auctionCard.collectionLabel,Коллекция,Collection,Colección,Coleção
components.auctionCard.ownerLabel,Владелец,Owner,Propietario,Proprietário
components.auctionCard.manageButton,Управление,Management,Control,Gerenciamento
components.auctionCard.bidButton,Ставка,Bid,Apuesta,Aposta
components.burnNFTForm.title,Сжечь,Burn,Quemar,Queimar
components.burnNFTForm.alert,ВНИМАНИЕ,WARNING,ATENCIÓN,ATENÇÂO
components.burnNFTForm.description,"Токен будет уничтожен, операцию невозможно будет отменить.",The token will be burnt. The operation cannot be canceled.,El token será destruido. La operación no se podrá deshacer.,O token será queimado. A operação não poderá ser cancelada.
components.burnNFTForm.securityCodeHelpLabel,Код безопасности,Security code,Código de seguridad,Código de segurança
components.burnNFTForm.securityCodeLabel,Код безопасности,Security code,Código de seguridad,Código de segurança
components.burnNFTForm.securityCodePlaceholder,Введите 6 символов,Enter 6 characters,Introduzca 6 caracteres,Introduza 6 caracteres
components.burnNFTForm.burnButton,Сжечь,Burn,Quemar,Queimar
components.collectionCard.itemsInCollectionLabel,Коллекция,Collection,Colección,Coleção
components.collectionCard.openButton,Открыть,Open,Abrir,Abrir
components.createAuctionNFTForm.title,Создать аукцион,Create an auction,Crear una subasta,Criar um leilão
components.createAuctionNFTForm.paymentTokenLabel,Токен платежа,Payment token,Token del pago,Token do pagamento
components.createAuctionNFTForm.startPriceLabel,Начальная цена,Starting price,Precio inicial,Preço inicial
components.createAuctionNFTForm.startPricePlaceholder,Введите цену,Enter price,Introduzca el precio,Especifique o preço
components.createAuctionNFTForm.buyNowPriceLabel,Цена моментальной покупки,Instant purchase price,Precio de la compra instantánea,Preço da compra instantânea
components.createAuctionNFTForm.buyNowPricePlaceholder,Введите цену,Enter price,Introduzca el precio,Introduza o preço
components.createAuctionNFTForm.auctionTypeLabel,Тип,Type,Tipo,Tipo
components.createAuctionNFTForm.startedNowTypeLabel,Мгновенный запуск,Instant launch,Inicio instantáneo,Lançamento intantâneo
components.createAuctionNFTForm.startedNowDescription,Аукцион стартует с момента создания,The auction starts immediately,La subasta comienza desde el momento de la creación,O leilão começa desde o momento da criação
components.createAuctionNFTForm.durationLabel,Продолжительность,Duration,Duración,Duração
components.createAuctionNFTForm.durationPlaceholder,Введите продолжительность,Enter duration,Introduzca la duración,Especifique a duração
components.createAuctionNFTForm.limitTypeLabel,Отложенный,Delayed,Programado ,Programado para
components.createAuctionNFTForm.startDateLabel,Начало,Start,Comienzo,Início
components.createAuctionNFTForm.endDateLabel,Конец,End,Final,Fim
components.createAuctionNFTForm.walletAccessCheck,????,,????,????
components.createAuctionNFTForm.quantityCheckLabel,Количество токенов автора,Number of author's tokens,Cantidad de tokens del autor,Número de tokens do autor
components.createAuctionNFTForm.quantityCheckPlaceholder,Введите количество токенов,Enter the quantity of tokens,Introduzca la cantidad de tokens,Introduza o número de tokens
components.createAuctionNFTForm.createAuctionButton,Создать,Create,Crear,Criar
components.createLotteryNFTForm.title,Создать лотерею,Create a lottery,Сrear una lotería,Criar uma loteria
components.createLotteryNFTForm.paymentTokenLabel,Токен платежа,Payment token,Token del pago,Token do pagamento
components.createLotteryNFTForm.maxTicketLabel,Количество билетов,Number of tickets,Cantidad de billetes,Número de bilhetes
components.createLotteryNFTForm.maxTicketPlaceholder,Введите количество билетов,Enter quantity of tickets,Ingrese la cantidad de billetes,Especifique a quantidade de bilhetes
components.createLotteryNFTForm.ticketPriceLabel,Цена билета,Ticket price,Precio de un billete,Preço de um bilhete
components.createLotteryNFTForm.ticketPricePlaceholder,Введите цену билета,Enter ticket price,Ingrese el precio de un billete,Especifique o preço de um bilhete
components.createLotteryNFTForm.endDateLabel,Конец,End,Final,Final
components.createLotteryNFTForm.createLotteryButton,Создать,Create,Crear,Criar
components.createSaleNFTForm.title,Продать,Sell,Vender,Vender
components.createSaleNFTForm.paymentTokenLabel,Токен платежа,Payment token,Token del pago,Token do pagamento
components.createSaleNFTForm.fixedPriceLabel,Цена,Price,Precio,Preço
components.createSaleNFTForm.fixedPricePlaceholder,Введите цену,Enter the price,Introduzca el precio,Introduza o preço
components.createSaleNFTForm.createMarketPositionButton,Продать,Sell,Vender,Vender
components.footer.privacyLinkLabel,Конфиденциальность,Privacy,Confidencialidad,Privacidade
components.footer.termsLinkLabel,Условия,Terms,Términos y condiciones,Termos
components.footer.copyright,©{year} Mediacoin | Все права защищены,©{year} Mediacoin | All rights reserved,©{year} Mediacoin | Todos los derechos reservados,©{year} Mediacoin | Todos os direitos reservados
components.navigation.lotteryLinkLabel,Лотерея,Lottery,Lotería,Loteria
components.navigation.becomeCreatorLinkLabel,Стать минтером,Become a minter,Convertirse en un minter,Tornar-se um minter
components.navigation.explorerLinkLabel,Поиск,Explorer,Navegación,Navegação
components.navigation.connectButton,Подключить,Connect,Conectar,Conectar
components.navigation.miniProfile.adminLinkLabel,Админ,Admin,Admin,Admin
components.navigation.miniProfile.profileLinkLabel,Профиль,Profile,Perfil,Perfil
components.navigation.miniProfile.disconnectButton,Отключить,Disconnect,Desconectar,Desconectar
components.navigation.walletForm.title,Кошелёк,Wallet,Billetera,Carteira
components.navigation.walletForm.description,Выберите подходящий для себя кошелёк подключения,Select an appropriate connect wallet,Elija la billetera de conexión más apropiada para Usted,Selecione a carteira de conexão apropriada para você
components.lotteryCard.leftTimeLabel,Осталось,Left:,Quedan,Restam
components.lotteryCard.endedLabel,Закончен,Ended,Finalizado,Finalizado
components.lotteryCard.soldOutLabel,Продано,Sold out,Vendido,Vendido
components.lotteryCard.myTicketsLabel,Я купил,I bought,Yo compré,Eu comprei
components.lotteryCard.ownerLabel,Владелец,Owner,Propietario,Proprietário
components.lotteryCard.collectionNameLabel,Коллекция,Collection,Colección,Coleção
components.lotteryCard.manageButton,Управление,Manage,Administración,Gerenciamento
components.lotteryCard.buyTicketsButton,Участвовать,Participate,Participar,Participar
components.marketCard.priceLabel,Цена,Price,Precio,Preço
components.marketCard.collectionNameLabel,Коллекция,Collection,Colección,Coleção
components.marketCard.ownerLabel,Владелец,Owner,Propietario,Proprietário
components.marketCard.manageButton,Управление,Manage,Administración,Gerenciamento
components.marketCard.buyButton,Купить,Buy,Comprar,Comprar
components.networkSwitcher.title,Сменить сеть,Change network,Cambiar la red,Alterar a rede
components.nftCard.collectionNameLabel,Коллекции,Collections,Colecciones,Coleções
components.nftCard.ownerLabel,Владелец,Owner,Propietario,Proprietário
components.nftCard.manageButton,Управление,Manage,Administración,Gerenciamento
components.nftCard.openButton,Открыть,Open,Abrir,Abrir
components.nftFilters.type.none,Не выставлен,Not exposed,No se exhibe,Não exibido
components.nftFilters.type.market,Рынок,Market,En venta ,À venda
components.nftFilters.type.auction,Аукцион,Auction,Subasta,Leilão
components.nftFilters.type.lottery,Лотерея,Lottery,Lotería,Loteria
components.nftFilters.media.audio,Аудио,Audio,Audio,Áudio
components.nftFilters.media.image,Картинка,Image,Imagen,Imagem
components.nftFilters.media.3d,3D,3D,3D,3D
components.nftFilters.media.video,Видео,Video,Video,Vídeo
components.nftFilters.sorting.creatingAsc,Создание| Возрастание,Creation | Ascending,Creación| Ascendente,Criação| Ascendente
components.nftFilters.sorting.creatingDesc,Создание| Убывание,Creation | Descending,Creación| Descendente,Criação| Descendente
components.nftFilters.nftTypeLabel,Размещение,Placement,Publicación,Status
components.nftFilters.selectNftTypeLabel,Выбрать тип NFT,Select an NFT type,Seleccionar el tipo de NFT,Selecionar o tipo de NFT
components.nftFilters.mediaTypeLabel,Медиа,Media,Multimedia,Multimídia
components.nftFilters.selectMediaTypeLabel,Выбрать медиа,Select media,Seleccionar multimedia,Selecionar multimídia
components.nftFilters.sortingLabel,Сортировка,Sorting,Ordenar ,Ordenar
components.notifications.completed.transactionCompletedLabel,Транзакция выполнена,Transaction is complete,Transacción completada,Transação realizada
components.notifications.completed.transactionFailedLabel,Транзакция не выполнена,Transaction failed,Transacción fallida,A transação falhou
components.notifications.completed.openScannerLinkLabel,Открыть сканер,Open scanner,Abrir escáner,Abrir escâner
components.notifications.mining.operationAmountInPendingLabel,В процессе {txCountPending},Pending {txCountPending},En proceso {txCountPending},Processando {txCountPending}
components.profileBanner.copiedLabel,Скопировано,Copied,Copiado,Copiado
components.profileBanner.share,Поделиться,Share,Compartir,Compartilhar
components.profileBanner.unknownUser,Неизвестный,Unknown,Desconocido,Desconhecido
components.profileBanner.referralSettingsButton,Рефералка,Referral,Referencia,Referência
components.profileBanner.editButton,Ред.,Edit,Editar ,Editar
components.profileSidebar.createNftLink,Создать NFT,Create NFT,Crear NFT,Criar NFT
components.profileSidebar.portfolio,Портфолио,Portfolio,Portafolio,Portfólio
components.profileSidebar.collections,Коллекции,Collections,Colecciones,Coleções
components.profileSidebar.stats,Статистика,Statistic,Estadística,Estatísticas
components.transferNFTForm.title,Передать токен,Transfer token,Transferir token,Transferir token
components.transferNFTForm.description,"Передача токена другому пользователю, операцию невозможно будет отменить",Token transferring to another user. The operation cannot be canceled.,Transferencia del token a otro usuario. La operación no se podrá deshacer.,Transferência do token para outro usuário. A operação não poderá ser cancelada.
components.transferNFTForm.accountLabel,Адрес кошелька,Wallet address,Dirección de la billetera,Endereço da carteira
components.transferNFTForm.accountPlaceholder,Введите адрес,Enter address,Introduzca la dirección,Introduza o endereço
components.transferNFTForm.transferButton,Передать,Transfer,Transferir,Transferir
components.txErrorPopup.title,Ошибка,Error,Error,Erro
components.txErrorPopup.copyHelpLabel,Скопировано,Copied,Copiado,Copiado
components.txErrorPopup.copyButton,Копировать,Copy,Copiar,Copiar
components.txErrorPopup.closeButton,Закрыть,Close,Cerrar,Fechar
components.txErrorPopup.defaultError,Операция отменена пользователем,Operation canceled by user,Operación cancelada por el usuario,Operação cancelada pelo usuário
pages.becomeCreatorPage.title,Стать минтером,Become a minter,Convertitse en un minter,Tornar-se um minter
pages.becomeCreatorPage.description,"Создайте запрос, на получение роли минтера. Вам будет доступна функция самому создавать и размещать токены на рынке, создавать лотереи и аукционы","Create a request to become a minter. You will be able to create and place tokens on the market, and launch lotteries and auctions.","Cree una solicitud para convertirse en un minter. Tendrá acceso a la función para crear y publicar tokens en el mercado usted mismo, crear loterías y subastas","Crie uma solicitação para tornar-se um minter. Você terá acesso à função para criar e publicar tokens no mercado, assim como criar loterias e leilões"
pages.becomeCreatorPage.minterMessage,Вы уже минтер,You are already a minter,Usted ya es un minter,Você já é um minter
pages.becomeCreatorPage.requestedMessage,Ваш запрос рассматривается,Your request is pending,Su solicitud está en estudio,Sua solicitação está sendo considerada
pages.becomeCreatorPage.rejectedMessage,Вам было отказано в роли,Your request was rejected,Su solicitud ha sido denegada,Sua solicitação foi rejeitada
pages.becomeCreatorPage.becomeCreatorButton,Стать минтером,Become a minter,Convertirse en un minter,Tornar-se um minter
pages.collectionExplorerPage.collectionInfo.unknownCreatorLabel,Неизвестный,Unknown,Desconocido ,Desconhecido
pages.collectionExplorerPage.collectionInfo.ownerAmountLabel,Владельцев,Owners,Propietarios ,Proprietários
pages.collectionExplorerPage.collectionInfo.itemsInCollectionLabel,В коллекции,In collection,En la colección,Na coleção
pages.collectionExplorerPage.collectionInfo.editButton,Ред.,Edit,Editar ,Editar
pages.collectionExplorerPage.collectionInfo.noDealsLabel,Ещё нет сделок,No deals yet,Aún no hay transacciones ,Ainda não há transações
pages.collectionExplorerPage.collectionInfo.tradingVolumeLabel,Торговый объём,Trading volume,Volumen comercial,Volume de negociações
pages.collectionExplorerPage.editCollectionForm.unknownCreatorLabel,Неизвестный,Unknown,Desconocido ,Desconhecido
pages.collectionExplorerPage.editCollectionForm.uploadRestrictionLabel,Размер файла до {restriction},File size: up to {restriction},Tamaño del archivo hasta {restriction},Tamanho de arquivo até {restriction}
pages.collectionExplorerPage.editCollectionForm.titleLabel,Название,Name,Nombre,Nome
pages.collectionExplorerPage.editCollectionForm.titlePlaceholder,Введите название,Enter name,Introduzca el nombre,Introduza o nome
pages.collectionExplorerPage.editCollectionForm.descriptionLabel,Описание,Description,Descripción,Descrição
pages.collectionExplorerPage.editCollectionForm.descriptionPlaceholder,Введите описание,Enter description,Introduzca una descripción,Introduza uma descrição
pages.collectionExplorerPage.editCollectionForm.ownerAmountLabel,Владельцев,Owners,Propietarios ,Proprietários
pages.collectionExplorerPage.editCollectionForm.itemsInCollectionLabel,В коллекции,In collection,En colección,Na coleção
pages.collectionExplorerPage.editCollectionForm.saveButton,Сохранить,Save,Guardar,Salvar
pages.collectionExplorerPage.editCollectionForm.closeButton,Закрыть,Close,Cerrar,Fechar
pages.collectionsExplorerPage.collectionNamePlaceholder,Введите название,Enter name,Introduzca el nombre,Introduza o nome
pages.explorePage.tokensTab,Токены,Tokens,Tokens,Tokens
pages.explorePage.lotteriesTab,Лотереи,Lotteries,Loterías,Loterias
pages.explorePage.collectionsTab,Коллекции,Collections,Colecciones,Coleções
pages.mainPage.auctionTape.title,Аукционы,Auctions,Subastas,Leilões
pages.mainPage.auctionTape.description,Мы собрали самые лучшие работы от самых лучших создателей,We collected the best works from the best creators.,Hemos recopilado las mejores obras de los mejores creadores,Nós coletamos as melhores obras dos melhores criadores
pages.mainPage.auctionTape.moreLink,Посмотреть всё,See all,Ver todo,Ver todas
pages.mainPage.collectionTape.title,Последние коллекции,Latest collection,Últimas colecciones,Últimas coleções
pages.mainPage.collectionTape.description,"Найди то, что тебе по душе и пополняй своё портфолио",Find what you like and enrich your portfolio,Encuentra lo que te gusta y añádelo a tu portafolio,Encontre o que você gosta e amplie seu portfólio
pages.mainPage.collectionTape.moreLink,Создать свою коллекцию,Create your collection,Crear su propia colección,Criar sua própria coleção
pages.mainPage.recentList.title,Новинки от наших звёзд,New quality tokens,Novedades de nuestras estrellas ,Novidades de nossas estrelas
pages.mainPage.recentList.description,"Мы заботимся о качестве контента, всё лучшее для тебя",We care for content quality – all the best for you.,"Nos preocupamos por la calidad del contenido, todo lo mejor para ti","Nos preocupamos com a qualidade do conteúdo, tudo de melhor para você"
pages.mainPage.recentList.moreLink,Найти новинки,Find new items,Encontrar novedades,Encontrar novidades
pages.mainPage.topSection.title,"Создавай, Находи & Собирай NFT","Create, Explore & Collect Digital Art NFTs","Crea, encuentra y colecciona los NFTs","Crie, encontre e colecione NFTs"
pages.mainPage.topSection.description,"Покупай и продавай NFT от лучших мировых звёзд, спортсменов, блогеров, бизнес-тренеров и известных личностей. Более 1000 премиальных цифровых произведений искусства доступны для тебя!",Buy and sell NFT from the best artists. More than 1000 premium digital masterpieces are available for you!,"Compra y vende los NFTs de las mejores estrellas mundiales, deportistas, blogueros y entrenadores de negocio. ¡Más de 1000 obras de arte digitales premium disponibles para ti!","Compre e venda NFTs de maiores estrelas, atletas, blogueiros, coaches de negócios e celebridades do mundo.
Mais de 1000 obras de arte digitais premium disponíveis para você!"
pages.mainPage.topSection.profileLinkLabel,Начать собирать,Start collecting,Empezar a coleccionar,Começar a colecionar
pages.mainPage.topSection.artsLabel,Arts,Arts,Arts,Arts
pages.mainPage.topSection.tradingVolumeLable,Объём,Volume,Volumen,Volume
pages.mainPage.topSection.participatorsLabel,Участников,Participants,Participantes,Participantes
pages.mainPage.topSection.openCollectionsButton,Увидеть больше,See more,Ver más,Ver mais
pages.masterPage.lotteryLinkLabel,Лотереи,Lotteries,Loterías,Loterias
pages.masterPage.becomeCreatorLinkLabel,Стать минтером,Become a minter,Convertirse en un minter,Tornar-se um minter
pages.masterPage.explorerLinkLabel,Найти,Search,Buscar,Buscar
pages.profileCollectionsPage.emptyList,Пока список пуст,The list is empty.,Hasta ahora la lista está vacía,"Por enquanto, a lista está vazia"
pages.profileEditPage.title,Редактировать профиль,Edit profile,Editar perfil,Editar perfil
pages.profileEditPage.profileEditForm.commonSectionTitle,Общая информация,General information,Información general,Informações gerais
pages.profileEditPage.profileEditForm.firstNameLabel,Имя,Name,Nombre,Nome
pages.profileEditPage.profileEditForm.firstNamePlaceholder,Введите имя,Enter name,Introduzca su nombre,Introduza seu nome
pages.profileEditPage.profileEditForm.lastNameLabel,Фамилия,Surname,Apellido,Sobrenome
pages.profileEditPage.profileEditForm.lastNamePlaceholder,Введите фамилию,Enter surname,Introduzca su apellido,Introduza seu sobrenome
pages.profileEditPage.profileEditForm.descriptionLabel,Описание,Description,Descripción,Descrição
pages.profileEditPage.profileEditForm.descriptionPlaceholder,Введите описание,Enter description,Introduzca una descripción,Introduza uma descrição
pages.profileEditPage.profileEditForm.socialSectionTitle,Социальные сети,Social media,Redes sociales,Redes sociais
pages.profileEditPage.profileEditForm.emailLabel,Почта,E-mail,E-mail,E-mail
pages.profileEditPage.profileEditForm.emailPlaceholder,Введите почту,Enter e-mail,Introduzca su e-mail,Introduza seu e-mail
pages.profileEditPage.profileEditForm.instagramLabel,Ссылка на instagram,Instagram link,Enlace a Instagram,Link para seu perfil no Instagram
pages.profileEditPage.profileEditForm.instagramPlaceholder,Вставьте ссылку,Insert link,Introduzca el link,Introduza o link
pages.profileEditPage.profileEditForm.telegramLabel,Ссылка на telegram,Telegram link,Enlace a Telegram,Link para Telegram
pages.profileEditPage.profileEditForm.telegramPlaceholder,Вставьте ссылку,Insert link,Introduzca el link,Introduza o link
pages.profileEditPage.profileEditForm.twitterLabel,Ссылка на twitter,Twitter link,Enlace a Twitter,Link para Twitter
pages.profileEditPage.profileEditForm.twitterPlaceholder,Вставьте ссылку,Insert link,Introduzca el link,Introduza o link
pages.profileEditPage.profileEditForm.signAlert,Подпишите сообщение для сохранения,Sign the message to save,Firme el mensaje para guardar,Assine a mensagem para salvar
pages.profileEditPage.profileEditForm.cancelButton,Отмена,Cancel,Cancelar,Cancelar
pages.profileEditPage.profileEditForm.updateButton,Обновить,Update,Actualizar,Atualizar
pages.profileEditPage.profileEditUploadPhoto.description,Загружайте фото 1:1 соотношением до 500KB,Upload a photo with a 1:1 ratio and up to 500KB,Suba una foto en proporción 1:1 hasta 500 KB,Carregue uma fotos na proporção 1:1 de até 500 KB
pages.profileEditPage.profileEditUploadPhoto.uploadPhotoButton,Загрузить,Upload,Cargar,Carregar
pages.profilePage.noProfileLabel,У вас ещё нет профиля,You don't have a profile yet,Usted aún no tiene un perfil,Você ainda não tem um perfil
pages.profilePage.joinToUsButton,Присоединяйтесь,Join,Únase,Junte-se
pages.profilePage.referralFrom.title,Реферальная программа,Referral program,Programa de referencia,Programa de referência
pages.profilePage.referralFrom.referralLinkLabel,Реферальная ссылка,Referral link,Enlace de referencia,Link de referência
pages.profilePage.referralFrom.copyButton,Копировать,Copy,Copiar,Copiar
pages.profilePage.referralFrom.copiedLabel,Скопировано,Copied,Copiado,Copiado
pages.profilePage.referralFrom.referralUsersLabel,Рефералов,Referrals,Referencias,Referências
pages.profilePage.referralFrom.earningDetailsLabel,Детализация дохода,Revenue details,Detalles de ingresos,Detalhes da renda
pages.profilePortfolioPage.emptyList,Твой портфолио пока пустой,Your portfolio is empty,Tu portafolio por ahora está vacío,Seu portfólio ainda está vazio
pages.profileStatsPage.volumeStatsTitle,Статистика объёма,Volume stats,Estadística de volumen,Estatísticas de volume
pages.profileStatsPage.nftsSoldLabel,Всего вы продали {amount} nft,You have sold {amount} nfts,En total Usted vendió {amount} nfts,No total você vendeu {amount} nfts
pages.profileStatsPage.buyVolumeTitle,Объём покупок,Purchase volume,Volumen de compras ,Volume de compra
pages.profileStatsPage.sellVolumeTitle,Объём продаж,Sales volume,Volumen de ventas,Volume de venda
pages.profileStatsPage.overallVolumeTitle,Общий объём,Overall volume,Volumen total ,Volume total
pages.tokenPage.tokenDetails.creatorLabel,Создатель,Creator,Creador,Criador
pages.tokenPage.tokenDetails.ownerLabel,Владелец,Owner,Propietario,Proprietário
pages.tokenPage.tokenDetails.notForSaleText,Данный токен пока не участвует ни в одном из событий,This token doesn't participate in any event.,Este token aún no participa en ninguno de los eventos,Este token ainda não participa em nenhum dos eventos
pages.tokenPage.propertyOfLabel,Свойства токена,Token characteristics,Propiedades del token,Propriedades do token
pages.tokenPage.priceHistoryTitle,История цены,Price history,Historial de precios,Histórico de preços
pages.tokenPage.tokenActivityHistoryTitle,Активность токена,Token activity,Actividad del token,Atividade do token
pages.tokenPage.tokenPreview.collectionLabel,Коллекции,Collection,Colecciones,Coleções
pages.tokenPage.auctionBidForm.bidLabel,Ставка,Bid,Apuesta,Aposta
pages.tokenPage.auctionBidForm.bidPlaceholder,Введите ставку,Enter bid,Introduzca la apuesta,Introduza a aposta
pages.tokenPage.auctionBidForm.bidButton,Поставить,Make a bid,Apostar ,Apostar
pages.tokenPage.auctionForm.currentBid,Текущая ставка,Current bid,Apuesta actual,Aposta atual
pages.tokenPage.auctionForm.minBid,Минимальная ставка,Minimum bid,Apuesta mínima,Aposta mínima
pages.tokenPage.auctionForm.eventName,Аукцион,Auction,Subasta,Leilão
pages.tokenPage.auctionForm.auctionExpiredText,Аукцион закончен,Auction ended.,Subasta finalizada,Leilão encerrado
pages.tokenPage.auctionInstantForm.instantBuyLabel,Купить сейчас,Buy now,Comprar ahora,Comprar agora
pages.tokenPage.auctionInstantForm.buyNowButton,Купить,Buy,Comprar,Comprar
pages.tokenPage.buyForm.priceLabel,Цена,Price,Precio,Preço
pages.tokenPage.buyForm.royaltyFeeLabel,Комиссия автора,Royalty,Royalty,Royalty
pages.tokenPage.buyForm.buyButton,Купить,Buy,Comprar,Comprar
pages.tokenPage.buyTicketForm.iBoughtLabel,Я купил,I bought,Yo compré ,Eu comprei
pages.tokenPage.buyTicketForm.ticketPriceLabel,Цена билета,Ticket price,Precio de un billete,Preço de um bilhete
pages.tokenPage.buyTicketForm.ticketsSoldLabel,Билетов продано,Sold tickets,Billetes vendidos,Bilhetes vendidos
pages.tokenPage.buyTicketForm.myShare,Доля {share},Share {share},Porcentaje {share},Porcentagem {share}
pages.tokenPage.buyTicketForm.myTicketsValue,Я купил {ticketsLeft},I bought {ticketsLeft},Yo compré {ticketsLeft},Eu comprei {ticketsLeft}
pages.tokenPage.buyTicketForm.soldOutLabel,Всё продано,Everything is sold out,Todo está vendido,Esgotado
pages.tokenPage.buyTicketForm.eventName,Лотерея,Lottery,Lotería,Loteria
pages.tokenPage.buyTicketForm.ticketsLabel,Билеты,Tickets,Billetes,Bilhetes
pages.tokenPage.buyTicketForm.ticketsPlaceholder,Введите количество билетов,Enter quantity of tickets,Ingrese la cantidad de billetes,Introduza a quantidade de bilhetes
pages.tokenPage.buyTicketForm.userSpendLabel,Вы потратите,You will spend,Usted gastará,Você gastará
pages.tokenPage.buyTicketForm.soldOutButton,Всё продано,Everything is sold out,Todo está vendido,Esgotado
pages.tokenPage.buyTicketForm.buyButton,Купить,Buy,Comprar,Comprar
pages.tokenPage.buyTicketForm.lotteryEndedText,Лотерея окончена,Lottery ended.,Lotería finalizada,Loteria encerrada
pages.tokenPage.cancelSaleForm.priceLabel,Цена,Price,Precio,Preço
pages.tokenPage.cancelSaleForm.royaltiesLabel,Комиссия автора,Royalty,Royalty,Royalty
pages.tokenPage.cancelSaleForm.cancelButton,Отменить,Cancel,Cancelar,Cancelar
pages.tokenPage.eventTimer.startEventLabel,{eventName} начнётся,{eventName} starts,{eventName} comenzará,{eventName} começará
